train_loss,train_loss_det
0.325673,0.325673
0.323437,0.323437
0.324060,0.324060
0.323110,0.323110
0.322652,0.322652
0.322940,0.322940
0.324984,0.324984
0.325468,0.325468
0.325220,0.325220
0.324331,0.324331
0.324517,0.324517
0.323010,0.323010
0.323024,0.323024
0.323147,0.323147
0.324555,0.324555
0.323333,0.323333
0.323860,0.323860
0.339606,0.339606
0.339499,0.339499
0.340781,0.340781
0.340797,0.340797
0.340063,0.340063
0.339457,0.339456
0.340791,0.340791
0.340177,0.340176
0.316210,0.316210
0.315620,0.315620
0.315500,0.315500
0.316222,0.316222
0.315788,0.315787
0.316185,0.316185
0.315423,0.315422
0.315374,0.315374
0.341632,0.341632
0.341711,0.341711
0.342784,0.342784
0.342216,0.342215
0.342659,0.342658
0.341825,0.341825
0.342159,0.342159
0.342859,0.342859
0.329634,0.329634
0.331226,0.331226
0.331307,0.331307
0.330346,0.330346
0.331368,0.331368
0.330979,0.330979
0.329646,0.329646
0.330637,0.330637
0.333039,0.333039
0.333222,0.333222
0.333742,0.333742
0.333080,0.333080
0.334183,0.334183
0.333610,0.333610
0.334086,0.334086
0.334113,0.334112
0.332181,0.332181
0.329157,0.329157
0.332024,0.332024
0.331346,0.331346
0.332131,0.332131
0.329717,0.329716
0.330519,0.330519
0.330811,0.330811
0.329258,0.329258
0.329153,0.329153
0.330421,0.330421
0.328832,0.328832
0.330235,0.330235
0.330151,0.330151
0.329714,0.329714
0.328672,0.328672
0.329734,0.329734
0.331598,0.331598
0.331430,0.331430
0.330496,0.330496
0.330622,0.330622
0.330954,0.330954
0.331145,0.331144
0.330921,0.330920
0.318174,0.318174
0.317948,0.317948
0.316300,0.316299
0.316960,0.316959
0.316361,0.316361
0.318012,0.318012
0.316282,0.316281
0.317205,0.317205
0.332498,0.332498
0.332795,0.332795
0.333669,0.333669
0.333615,0.333615
0.333194,0.333194
0.331644,0.331644
0.333526,0.333526
0.331516,0.331515
0.338582,0.338581
0.340604,0.340604
0.339538,0.339538
0.340567,0.340567
0.338315,0.338315
0.340381,0.340381
0.340025,0.340025
0.339367,0.339367
0.346482,0.346482
0.346592,0.346592
0.345345,0.345345
0.344146,0.344146
0.344536,0.344536
0.346465,0.346464
0.344338,0.344337
0.345493,0.345493
0.325187,0.325187
0.324983,0.324982
0.326396,0.326396
0.326368,0.326368
0.326175,0.326175
0.325867,0.325867
0.326187,0.326187
0.325434,0.325434
0.320641,0.320641
0.320195,0.320195
0.321264,0.321264
0.320182,0.320182
0.320453,0.320453
0.321549,0.321549
0.321136,0.321136
0.320851,0.320851
0.329156,0.329156
0.328530,0.328529
0.328207,0.328207
0.329299,0.329299
0.327652,0.327652
0.327762,0.327762
0.327894,0.327894
0.329314,0.329314
0.319480,0.319479
0.319785,0.319785
0.320149,0.320149
0.319129,0.319129
0.319150,0.319150
0.320193,0.320193
0.318910,0.318910
0.320145,0.320145
0.327928,0.327927
0.328115,0.328115
0.326955,0.326954
0.326489,0.326489
0.328056,0.328056
0.327532,0.327532
0.327087,0.327087
0.326507,0.326507
0.347020,0.347020
0.348017,0.348017
0.346375,0.346375
0.346367,0.346366
0.347023,0.347023
0.347520,0.347520
0.347839,0.347839
0.347950,0.347950
0.315936,0.315936
0.315575,0.315575
0.316096,0.316096
0.315606,0.315606
0.314998,0.314998
0.315240,0.315240
0.315176,0.315175
0.315599,0.315599
0.333691,0.333691
0.333501,0.333501
0.331525,0.331525
0.332943,0.332943
0.332461,0.332461
0.331262,0.331261
0.333945,0.333944
0.334143,0.334143
0.335765,0.335765
0.335255,0.335254
0.336292,0.336292
0.334151,0.334151
0.336124,0.336124
0.336240,0.336240
0.334320,0.334320
0.336120,0.336120
0.324003,0.324003
0.322957,0.322957
0.324686,0.324686
0.325129,0.325128
0.323158,0.323158
0.324162,0.324162
0.325373,0.325372
0.325428,0.325428
0.338659,0.338659
0.339709,0.339709
0.337601,0.337601
0.339285,0.339285
0.339495,0.339495
0.338683,0.338683
0.338426,0.338426
0.339833,0.339833
0.318038,0.318038
0.317113,0.317113
0.316712,0.316712
0.316737,0.316737
0.318827,0.318827
0.319173,0.319173
0.319046,0.319046
0.319424,0.319424
0.326288,0.326288
0.328385,0.328384
0.327696,0.327696
0.326397,0.326397
0.328608,0.328607
0.328175,0.328174
0.328083,0.328083
0.327121,0.327121
0.319256,0.319256
0.318768,0.318768
0.319134,0.319134
0.318577,0.318577
0.318053,0.318053
0.317771,0.317771
0.317989,0.317989
0.319011,0.319011
0.328985,0.328985
0.329395,0.329395
0.330102,0.330102
0.328846,0.328846
0.329889,0.329889
0.329579,0.329579
0.328984,0.328984
0.330193,0.330193
0.319545,0.319545
0.320486,0.320486
0.320741,0.320740
0.318821,0.318821
0.319728,0.319728
0.320086,0.320086
0.320252,0.320251
0.319761,0.319761
0.345309,0.345309
0.344476,0.344475
0.345207,0.345207
0.345144,0.345144
0.345503,0.345503
0.344615,0.344615
0.343934,0.343933
0.344014,0.344014
0.318918,0.318917
0.318340,0.318340
0.317900,0.317900
0.318882,0.318882
0.318467,0.318467
0.318932,0.318932
0.318459,0.318459
0.319039,0.319039
0.321102,0.321102
0.320968,0.320967
0.321078,0.321078
0.321474,0.321474
0.321321,0.321321
0.321330,0.321330
0.321300,0.321300
