train_loss,train_loss_det
0.333619,0.333619
0.315058,0.315058
0.339159,0.339159
0.318760,0.318760
0.323596,0.323596
0.338749,0.338749
0.328902,0.328902
0.321894,0.321894
0.329679,0.329679
0.349422,0.349422
0.329985,0.329985
0.328419,0.328419
0.311655,0.311655
0.306850,0.306850
0.318388,0.318388
0.334417,0.334417
0.313594,0.313594
0.323216,0.323216
0.338032,0.338032
0.330449,0.330449
0.321261,0.321261
0.327614,0.327614
0.341624,0.341624
0.320785,0.320785
0.336162,0.336162
0.320369,0.320369
0.347124,0.347124
0.328125,0.328125
0.333275,0.333275
0.320731,0.320731
0.323757,0.323757
0.337922,0.337922
0.329453,0.329453
0.338921,0.338921
0.311220,0.311220
0.333865,0.333865
0.343215,0.343215
0.344485,0.344485
0.334697,0.334697
0.336260,0.336260
0.319467,0.319467
0.327966,0.327966
0.322271,0.322271
0.328504,0.328504
0.331513,0.331513
0.338928,0.338928
0.327328,0.327328
0.332909,0.332909
0.317837,0.317837
0.334121,0.334121
0.351164,0.351164
0.328211,0.328211
0.317988,0.317988
0.342789,0.342789
0.321925,0.321925
0.338196,0.338196
0.330107,0.330107
0.323979,0.323979
0.313860,0.313860
0.319280,0.319280
0.325401,0.325401
0.325829,0.325829
0.318258,0.318258
0.319435,0.319435
0.315766,0.315766
0.356539,0.356539
0.329406,0.329406
0.322387,0.322387
0.343672,0.343672
0.323743,0.323743
0.318194,0.318194
0.317921,0.317921
0.321286,0.321286
0.329037,0.329037
0.324438,0.324438
0.339532,0.339532
0.338584,0.338584
0.330809,0.330809
0.327476,0.327476
0.338256,0.338256
0.333919,0.333919
0.327703,0.327703
0.312240,0.312240
0.318046,0.318046
0.336437,0.336437
0.332579,0.332579
0.325318,0.325318
0.306847,0.306847
0.322653,0.322653
0.325759,0.325759
0.332431,0.332431
0.320576,0.320576
0.330941,0.330941
0.342737,0.342737
0.319277,0.319277
0.337613,0.337613
0.312963,0.312963
0.324435,0.324435
0.326441,0.326441
0.327282,0.327282
0.324308,0.324308
0.325847,0.325847
0.321523,0.321523
0.339620,0.339620
0.318547,0.318547
0.336595,0.336595
0.331383,0.331383
0.335458,0.335458
0.335844,0.335844
0.336353,0.336353
0.312386,0.312386
0.344703,0.344703
0.313464,0.313464
0.341589,0.341589
0.334773,0.334773
0.339354,0.339354
0.328631,0.328631
0.316390,0.316390
0.346132,0.346132
0.322103,0.322103
0.314565,0.314565
0.323006,0.323006
0.317107,0.317107
0.328606,0.328606
0.349870,0.349870
0.326519,0.326519
0.319540,0.319540
0.330062,0.330062
0.335430,0.335430
0.335148,0.335148
0.329221,0.329221
0.325132,0.325132
0.327673,0.327673
0.328593,0.328593
0.338703,0.338703
0.321063,0.321063
0.318340,0.318340
0.337084,0.337084
0.343973,0.343973
0.326296,0.326296
0.340520,0.340520
0.344990,0.344990
0.312689,0.312689
0.315703,0.315703
0.331399,0.331399
0.335928,0.335928
0.329580,0.329580
0.328962,0.328962
0.305610,0.305610
0.340548,0.340548
0.342965,0.342965
0.333852,0.333852
0.340184,0.340184
0.333104,0.333104
0.324934,0.324934
0.317048,0.317048
0.316416,0.316416
0.337063,0.337063
0.322682,0.322682
0.328520,0.328520
0.341908,0.341908
0.318059,0.318059
0.321592,0.321592
0.343087,0.343087
0.325747,0.325747
0.324633,0.324633
0.331627,0.331627
0.318118,0.318118
0.332067,0.332067
0.320855,0.320855
0.328708,0.328708
0.330550,0.330550
0.313367,0.313367
0.333516,0.333516
0.336820,0.336820
0.318551,0.318551
0.331756,0.331756
0.345385,0.345385
0.341813,0.341813
0.325362,0.325362
0.333559,0.333559
0.332501,0.332501
0.333802,0.333802
0.334316,0.334316
0.328041,0.328041
0.314624,0.314624
0.332734,0.332734
0.316965,0.316965
