epoch,avg_train_loss,avg_train_loss_det,avg_valid_loss,time
65,0.022122,0.022122,nan,1145.777965
66,0.022125,0.022125,nan,1150.096777
67,0.022131,0.022131,nan,1152.609934
68,0.022143,0.022143,nan,1144.827074
69,0.022085,0.022085,nan,1154.702265
70,0.022056,0.022056,nan,1157.364143
71,0.022117,0.022117,nan,1148.344560
72,0.022094,0.022094,nan,1138.818136
73,0.022071,0.022071,nan,1144.721137
74,0.022047,0.022047,nan,1143.196878
75,0.022069,0.022069,nan,1140.446187
76,0.022017,0.022017,nan,1139.116943
77,0.021984,0.021984,nan,1147.562417
78,0.022000,0.022000,nan,1146.381157
79,0.022000,0.022000,nan,1143.950630
80,0.021984,0.021984,nan,1143.469423
81,0.021996,0.021996,nan,1144.520008
82,0.022050,0.022050,nan,1142.872162
83,0.021998,0.021998,nan,1157.723914
84,0.022038,0.022038,nan,1148.817571
85,0.022159,0.022159,nan,1145.976701
86,0.022057,0.022057,nan,1150.372756
87,0.021988,0.021988,nan,1144.144576
88,0.021969,0.021969,nan,1136.448599
89,0.022049,0.022049,nan,1149.815014
90,0.021989,0.021989,nan,1145.793801
91,0.021985,0.021985,nan,1142.655873
92,0.022001,0.022001,nan,1135.056830
93,0.021981,0.021981,nan,1153.051363
94,0.022017,0.022017,nan,1149.857056
95,0.021996,0.021996,nan,1159.524010
96,0.022008,0.022008,nan,1154.645998
97,0.022025,0.022025,nan,1154.258537
98,0.021996,0.021996,nan,1150.074134
99,0.021969,0.021969,nan,1164.282883
100,0.021966,0.021966,nan,1154.110533
101,0.022006,0.022006,nan,1174.628973
102,0.022036,0.022036,nan,1141.718636
103,0.022053,0.022053,nan,1144.638663
104,0.022183,0.022183,nan,1167.410655
105,0.022285,0.022285,nan,1138.868070
106,0.022239,0.022239,nan,1152.249351
107,0.022116,0.022116,nan,1163.977584
108,0.022087,0.022087,nan,1150.091654
109,0.022314,0.022314,nan,1160.803695
110,0.022945,0.022945,nan,1143.303321
111,0.022706,0.022706,nan,1134.291828
112,0.022326,0.022326,nan,1141.270788
113,0.022277,0.022277,nan,1157.294332
114,0.022216,0.022216,nan,1152.578420
115,0.022273,0.022273,nan,1139.298728
116,0.022208,0.022208,nan,1140.101854
117,0.022691,0.022691,nan,1145.652436
118,0.022586,0.022586,nan,1158.211959
119,0.022605,0.022605,nan,1151.570534
120,0.022293,0.022293,nan,1142.482731
121,0.022417,0.022417,nan,1161.687254
122,0.022192,0.022192,nan,1160.645540
123,0.022156,0.022156,nan,1153.862697
124,0.022212,0.022212,nan,1159.980776
125,0.022218,0.022218,nan,1153.816957
126,0.022231,0.022231,nan,1161.600095
127,0.022271,0.022271,nan,1167.104422
128,0.022843,0.022843,nan,1168.630677
129,0.022633,0.022633,nan,1159.919010
130,0.022284,0.022284,nan,1145.244745
131,0.022372,0.022372,nan,1151.037454
132,0.022735,0.022735,nan,1153.295222
133,0.022384,0.022384,nan,1150.404718
134,0.022630,0.022630,nan,1150.381160
135,0.022580,0.022580,nan,1145.631629
136,0.022287,0.022287,nan,1147.358269
137,0.022630,0.022630,nan,1151.639857
138,0.023087,0.023087,nan,1149.985194
139,0.022646,0.022646,nan,1149.732105
140,0.022809,0.022809,nan,1143.455834
141,0.022498,0.022498,nan,1144.113547
142,0.022479,0.022479,nan,1140.608910
143,0.022432,0.022432,nan,1148.948984
144,0.022769,0.022769,nan,1138.637018
145,0.022438,0.022438,nan,1130.028303
146,0.022351,0.022351,nan,1131.828120
147,0.022519,0.022519,nan,1134.915730
148,0.022577,0.022577,nan,1149.489205
149,0.022417,0.022417,nan,1133.980870
150,0.022352,0.022352,nan,1125.564587
